ITEM_NM,SUBITEM_NM,CTPRVN_NM,SIGNGU_NM,CLSSRM_NM,TROBL_TY_NM,OPER_TIME_CN,CLSSRM_INTRCN_CN,RCRIT_PD,OPER_PD
"수영",,경남,양산시,경남장애인 스윔닥터스 수중운동교실,지적장애,"화,수,목 17:00~18:00",,20210101~20211231,20210101~20211231
"수영",,광주,서구,발달장애청소년수영교실(개인)-윤바다지도자,지적장애,"매주 월,수,금 15~17시",,20210101~20210131,20210104~20211231
"수영",,경기,안양시,(대장체)안양시 수영(아동)클럽,지적장애,화 16:30~17:20,,20210401~20210730,20210501~20211130
"수영",,경기,안양시,(대장체)안양시 수영(성인)클럽,지적장애,화 18:30~19:20,,20210401~20210730,20210501~20211130
"수영",,충남,계룡시,장애청소년 수중교실,기타장애,매주 목 18:00~19:00,,20210301~20211130,20210301~20211130
"수영",,경남,창원시의창구,창원시 뇌병변 수중운동교실,뇌병변장애,"화,목 14:00~15:00",,20210101~20211231,20210101~20211231
"슐런",,강원,태백시,강원도 태백시 농아인 슐런교실,청각장애,월 14:00 ~ 16:00,,20210201~20211231,20210405~20210927
"슐런",,충북,충주시,2021 장애인생활체육 슐런교실,뇌병변장애,매주 수 13:00~15:00,,20210126~20210215,20210302~20211031
"슐런",,광주,남구,(기금) 2021 청소년장애인 슐런교실(남구장애인체육회-문아현),지적장애,매주 월 10:40~12:10,,20210201~20210228,20210405~20211025
"슐런",,강원,동해시,강원도 동해시장애인 생활체육 슐런교실,청각장애,월 15:00 ~ 17:00,,20210201~20211231,20210401~20211130
"슐런",,전남,영암군,2021 전남 영암군 장애인생활체육 슐런교실(기금),청각장애,13:00~14:00,2021 전남 영암군 장애인생활체육 슐런교실(기금),20210401~20210430,20210506~20211028
"슐런",,경남,함안군,함안농아인슐런교실,청각장애,월 15:00~17:00,,20210101~20211231,20210101~20211231
"슐런",,강원,고성군,강원도 고성군 지적장애인 생활체육교실,지적장애,목 15:00 ~ 17:00,,20210201~20211231,20210401~20211031
"슐런",,서울,마포구,2021 마포구 지적장애인 슐런교실(마포푸르메직업재활센터),지적장애,매주 금 16:00~17:00,,20210201~20210331,20210401~20210930
"슐런",,서울,영등포구,2021 영등포구 청각장애인 슐런교실(농아인협회 영등포구지회),청각장애,"매주 화, 목 14:00~17:00",,20210201~20210331,20210401~20210930
"슐런",,경기,성남시,(대장체)성남시 슐런교실,지체장애,"화, 목 10:00~11:00",,20210401~20210730,20210501~20211130
"슐런",,경북,김천시,슐런으로 건강을! 슐런으로 행복을! 신바람 건강 슐런교실(생애주기별-김천지체장애인협회),지체장애,"금, 14:00~15:00",,20210301~20210331,20210409~20210924
"슐런",,대구,달성군,2021년 대구장애인자립초보자슐런생활체육교실(다사센터),지체장애,매주 목 14:00~16:00,다사장애인자립생활센터는 지역사회의 장애인 당사자가 참여로서 함께 만들어 가는 공동체입니다. 장애인의 자립생활과 적극적인 사회참여 활동이 될 수 있도록 지원하고 있습니다. 저희 초보자슐런교실은 장애인의 체육증진 활동으로서 건강한 정신력과 자립생활을 도모하고자 하신 분들의 많은 참여를 환영합니다.,20210203~20210331,20210401~20210930
"슐런",,경북,포항시북구,2021년 장애인생활체육 동호회 클럽 T.O.P(슐런)(동호회-클럽TOP),지체장애,"화, 16:00~17:00",,20210301~20210331,20210504~20211019
"슐런",,전남,진도군,2021년 전남 진도군 장애인생활체육 슐런교실,뇌병변장애,14:00~15:00,2021년 전남 진도군 장애인생활체육 슐런교실( 진도군장애인종합복지관),20210422~20211014,20210422~20211014
"슐런",,강원,속초시,강원도 속초시 뇌병변장애인 슐런교실,뇌병변장애,월 13:00 ~ 15:00,,20210201~20211231,20210405~20211025
"슐런",,서울,강동구,2021 강동구 발달장애 청소년 슐런교실(홀트강동복지관),지적장애,매주 금 16:00~18:00,,20210201~20210530,20210501~20210731
"슐런",,강원,속초시,강원도 속초시 장애인 슐런교실,지적장애,금 13:00 ~ 15:00,,20210201~20211231,20210501~20211031
"슐런",,충북,충주시,2021 장애인생활체육 슐런놀이교실,지적장애,"매주 목,토 13:00~14:00",,20210126~20210215,20210302~20211031
"슐런",,전남,순천시,2021 전남 순천시 장애인생활체육 슐런교실,지적장애,10:00~11:40,2021 전남 순천시 장애인생활체육 슐런교실,20210402~20210917,20210402~20210917
"슐런",,대구,수성구,2021년 어르신슐런생활체육교실,지체장애,0,대구장애인종합복지관 어르신슐런교실,20210201~20210210,20210401~20211030
"슐런",,대구,달서구,2021년 척수장애인힐링초보자슐런생활체육교실,지체장애,매주 금 13:00~14:30,대구광역시에 거주하는 척수장애인(휠체어 사용)을 대상으로 건전한 여가선용의 기회를 부여하고 건강증진을 도모하며 신체활동이 부족 할 수 밖에 없는 장애인들에게 생활의 활력을 부여하여 삶의 질 향상을 목표로한다.,20210215~20210226,20210401~20211031
"슐런",,경북,울진군,2021년 울진 뇌병변장애인 슐런동호회(동호회-울진뇌병변슐런동호회),뇌병변장애,"화, 10:30~11:30",,20210301~20210331,20210406~20211026
"슐런",,경북,성주군,2021년 성주군 장애인 생활체육 슐런 교실(유형별-성주교통장애인협회),지체장애,"수, 14:00~15:00",,20210301~20210331,20210407~20211006
"슐런",,대구,달서구,2021년 대구신나고!건강하고!고고슐런생활체육교실(달구벌복지관),지체장애,"매주 화,목 10:00~11:00",장애유형 차별하지 않습니다. 남녀 차별하지 않습니다. 건강한 마음가짐만 있으시면 언제든 참석가능합니다. 신나고! 건강한! 슐런교실입니다.,20210308~20210402,20210406~20211029
"슐런",,경북,영천시,영스타슐런클럽(동호회-영스타슐런클럽),지체장애,"수, 15:00~16:30",,20210301~20210331,20210602~20211117
"슐런",,충북,충주시,2021 장애인생활체육 숭덕슐런교실,지체장애,매주 화 15:00~16:00,,20210126~20210215,20210302~20211031
"슐런",,충북,청주시,2021 장애인생활체육 청각장애인 Deaf슐런교실,청각장애,"매주 화,목 13:30~16:00",,20210215~20210310,20210401~20211031
"슐런",,경남,통영시,경남장애인슐런생활체육교실,지적장애,수 15:30~17:00,,20210101~20211231,20210101~20211231
"슐런",,충남,공주시,슉슉 골인 슐런교실,지적장애,매주 수 10:00~12:00,,20210301~20211130,20210301~20211130
